year,company_name,country,currency,amortization_of_deferred_charges,total_assets,common_equity,cogs,depreciation_depletion_amortization,ebit,income_before_extraordinary_items,income_before_extraordinary_items_common_equity,total_interest_income,net_interest_income,net_interest_margin,operating_income_before_depreciation,revenues,total_interest_expense,interest_expense_long_term_debt,staff_expense,expense_non_interest_bank,operating_expense,pension_and_retirement_expense,research_and_development_expense,rental_expense,ROE,ROA,cost_to_income,EBIT_Margin
2000,BANK OF NEW YORK MELLON CORP,USA,USD,,77114,6151,2725,,2734,1429,1429,,,2.96,2981,7486,,,1488,,4505,69,,184,23.2319948,1.853100604,60.1790008,36.52150681
2001,BANK OF NEW YORK MELLON CORP,USA,USD,,81025,6317,2314,,2564,1343,1343,,,2.57,2848,7160,,,1588,,4312,-2,,232,21.26009182,1.657513113,60.22346369,35.81005587
2002,BANK OF NEW YORK MELLON CORP,USA,USD,,77564,6684,1633,,1942,902,902,,,2.62,2174,5756,,,1581,,3582,-54,,230,13.49491323,1.162910629,62.23071577,33.73870744
2003,BANK OF NEW YORK MELLON CORP,USA,USD,,92397,8428,876,,2582,1157,1157,,,2.22,3012,6336,,,2002,,3324,9,,261,13.72804936,1.252205158,52.46212121,40.75126263
2004,BANK OF NEW YORK MELLON CORP,USA,USD,,94529,9290,823,,2965,1440,1440,,,2.07,3445,7093,,,2324,,3648,41,,297,15.50053821,1.523342043,51.4309883,41.8017764
2005,BANK OF NEW YORK MELLON CORP,USA,USD,,102074,9876,1462,,3244,1571,1571,,,2.36,3770,8312,,,2549,,4542,93,,323,15.9072499,1.539079491,54.64388835,39.02791145
2006,BANK OF NEW YORK MELLON CORP,USA,USD,,103370,11593,2221,,3203,1476,1476,,,2.01,3697,9027,,,2640,,5330,100,,279,12.73182093,1.42788043,59.04508696,35.48244156
2007,BANK OF NEW YORK MELLON CORP,USA,USD,,197656,29403,3441,,5679,2227,2227,,,2.08,6505,14782,,,4120,,8277,82,,449,7.574057069,1.126704982,55.99377621,38.41834664
2008,BANK OF NEW YORK MELLON CORP,USA,USD,,237512,25264,2818,,7109,1442,1409,,,1.92,7996,16828,,,5115,,8832,79,,575,5.707726409,0.607127219,52.48395531,42.24506774
2009,BANK OF NEW YORK MELLON CORP,USA,USD,,212224,28977,924,,1071,-814,-1097,,,1.82,1782,8279,,,4700,,6497,81,,564,-2.809124478,-0.383556996,78.47566131,12.93634497
2010,BANK OF NEW YORK MELLON CORP,USA,USD,,247259,32354,619,,7117,2584,2584,,,1.69,7746,14483,,,5215,,6737,153,,588,7.98664771,1.045058016,46.51660568,49.14037147
2011,BANK OF NEW YORK MELLON CORP,USA,USD,,325266,33417,605,,7175,2516,2516,,,1.36,7951,15236,,,5726,,7285,275,,624,7.529101954,0.773520749,47.81438698,47.09241271
2012,BANK OF NEW YORK MELLON CORP,USA,USD,,358990,35363,454,,6704,2445,2427,,,1.21,7950,15089,,,5761,,7139,321,,593,6.914006165,0.681077467,47.31261184,44.42971701
