currency,year,amortization_of_deferred_charges,total_assets,common_equity,cogs,depreciation_depletion_amortization,ebit,income_before_extraordinary_items,income_before_extraordinary_items_cashflow,total_interest_income,operating_income_before_depreciation,revenues,total_interest_expense,interest_expense_long_term_debt,staff_expense,expense_non_interest_bank,operating_expense,pension_and_retirement_expense,research_and_development_expense,rental_expense,company_name,country,ROE,ROA,cost_to_income_interest,cost_to_income,EBIT_Margin,net_interest_margin
JPY,2000,,67392974,1837152,,1647508,550360,83469,,1328056,846771,2689714,674508,135188,,1741738,,,,,SUMITOMO MITSUI FINANCIAL GR,JPN,4.543391075,0.123854157,50.78912335,131.1494395,20.46165503,
JPY,2001,,108005001,2912620,,2064528,-224513,-463887,,2176685,182711,3617046,726901,192152,,3494483,,,,,SUMITOMO MITSUI FINANCIAL GR,JPN,-15.92679443,-0.429505112,33.39486421,160.5415115,-6.20708169,
JPY,2002,,104607449,2424075,,2120842,-333459,-465359,,1816908,78688,2943213,417404,150887,,3116723,,,,,SUMITOMO MITSUI FINANCIAL GR,JPN,-19.19738457,-0.444862201,22.9733151,171.5399459,-11.32976105,1.97
JPY,2003,,102215172,3070942,,2115491,606982,330414,,1591338,1021457,3613640,310267,126809,,2898479,,,,,SUMITOMO MITSUI FINANCIAL GR,JPN,10.7593696,0.323253382,19.49724069,182.1410034,16.79696926,
JPY,2004,,99731858,2775728,,2085577,106639,-234201,,1521728,541553,3278086,350385,129100,,3036236,,,,,SUMITOMO MITSUI FINANCIAL GR,JPN,-8.437462172,-0.23483068,23.02546841,199.5255394,3.25308732,
JPY,2005,,107010575,4454399,,2111358,1264830,686841,,1662600,1690642,3765136,500993,128886,,2220781,,,,,SUMITOMO MITSUI FINANCIAL GR,JPN,15.41938654,0.641844042,30.13310478,133.5727776,33.59320885,
JPY,2006,,100858309,3923001,,2147386,1116712,441351,,1979069,1535838,3890937,810476,160559,,2273671,,,,,SUMITOMO MITSUI FINANCIAL GR,JPN,11.25034126,0.437595082,40.95238721,114.8858883,28.70033619,
JPY,2007,,111955918,3578371,,2914821,1317229,461536,,2145451,1814870,4658501,935067,173845,,2794479,,,,,SUMITOMO MITSUI FINANCIAL GR,JPN,12.89793596,0.412247971,43.58370338,130.2513551,28.27581233,
JPY,2008,,119637224,2469856,,616324,404031,-373456,,2087348,535444,3345906,748894,181827,,2567517,,,,,SUMITOMO MITSUI FINANCIAL GR,JPN,-15.12055764,-0.312157026,35.87777409,123.0037828,12.07538407,
JPY,2009,,123159513,4951405,,671298,692969,271559,,1695805,848463,3098481,314893,119214,,2225491,,,,,SUMITOMO MITSUI FINANCIAL GR,JPN,5.484483697,0.220493727,18.56893924,131.2350771,22.36479746,
JPY,2010,,137803098,5094756,,717073,982837,475895,,1612599,1160042,3732820,294947,120949,,2610560,,,,,SUMITOMO MITSUI FINANCIAL GR,JPN,9.340879131,0.345344195,18.29016389,161.8852548,26.32961139,
JPY,2011,,143040672,5211093,,750082,1108713,518536,,1631592,1295507,3919140,290223,133031,,2675951,,,,,SUMITOMO MITSUI FINANCIAL GR,JPN,9.950618805,0.362509483,17.78771899,164.0085879,28.28970131,
JPY,2012,,148696800,6346458,,857513,1241107,794059,,1707513,1450836,4217200,314876,150586,,2838291,,,,,SUMITOMO MITSUI FINANCIAL GR,JPN,12.51184519,0.534012164,18.44062095,166.2236832,29.42964526,
JPY,2013,,161534387,7280978,,884257,1599394,835357,,1805015,1829848,4613301,320846,141441,,2869761,,,,,SUMITOMO MITSUI FINANCIAL GR,JPN,11.47314276,0.517138806,17.77525395,158.9882079,34.66918807,
JPY,2014,,183442585,9024533,,944545,1525855,753610,,1891932,1774571,4781563,386753,163837,,3085433,,,,,SUMITOMO MITSUI FINANCIAL GR,JPN,8.350681415,0.410815188,20.4422252,163.0837155,31.91121815,
JPY,2015,,186585842,8916647,,977479,1235603,646687,,1868313,1501621,4766982,445385,194372,,3341427,,,,,SUMITOMO MITSUI FINANCIAL GR,JPN,7.252580482,0.346589534,23.83888567,178.8472809,25.92002655,
JPY,2016,,197791611,9735022,,1129612,1276263,706519,,1912027,1580523,5091833,553394,221683,,3559134,,,,,SUMITOMO MITSUI FINANCIAL GR,JPN,7.257497723,0.357203724,28.94279213,186.1445471,25.06490295,
JPY,2017,,199049128,10393288,,1089903,1514371,734368,,2165788,1821131,5708869,775560,316264,,3824459,,,,,SUMITOMO MITSUI FINANCIAL GR,JPN,7.065790922,0.368938064,35.80959909,176.5851044,26.52663776,
USD,2000,0,673814,45570,,4022,33798,6628,,37746,35389,49188,24023,,,16284,,464,,,HSBC HLDGS PLC,GBR,14.54465657,0.983654243,63.64382981,43.14099507,68.71188095,2.66
USD,2001,0,695877,45979,,4911,28536,5406,,35261,30469,47312,20536,,,18727,,611,,,HSBC HLDGS PLC,GBR,11.75754149,0.776861428,58.23998185,53.10966791,60.31450795,2.54
USD,2002,0,759246,52406,,5567,22785,6239,,28595,24829,40275,13135,,,18550,,612,,,HSBC HLDGS PLC,GBR,11.90512537,0.821736302,45.93460395,64.87148103,56.5735568,2.55
USD,2003,0,1034216,74473,,6825,27292,8774,,39968,30139,56888,14370,,,30791,,868,,,HSBC HLDGS PLC,GBR,11.781451,0.8483721,35.95376301,77.03913131,47.97496836,3.29
USD,2004,0,1276778,86623,,8097,36787,11840,,50203,40293,71838,19179,,,36830,,916,,,HSBC HLDGS PLC,GBR,13.66842525,0.927334274,38.20289624,73.36214967,51.20827417,3.22
