date,name,outstanding stock,price,
20000103,BANK OF NEW YORK MELLON CORP,736398000,37,
20000104,BANK OF NEW YORK MELLON CORP,736398000,35,9375
20000105,BANK OF NEW YORK MELLON CORP,736398000,35,125
20000106,BANK OF NEW YORK MELLON CORP,736398000,36,
20000107,BANK OF NEW YORK MELLON CORP,736398000,37,875
20000110,BANK OF NEW YORK MELLON CORP,736398000,36,1875
20000111,BANK OF NEW YORK MELLON CORP,736398000,35,3125
20000112,BANK OF NEW YORK MELLON CORP,736398000,36,4375
20000113,BANK OF NEW YORK MELLON CORP,736398000,37,375
20000114,BANK OF NEW YORK MELLON CORP,736398000,39,125
20000118,BANK OF NEW YORK MELLON CORP,736398000,37,375
20000119,BANK OF NEW YORK MELLON CORP,736398000,37,125
20000120,BANK OF NEW YORK MELLON CORP,736398000,36,75
20000121,BANK OF NEW YORK MELLON CORP,736398000,36,375
20000124,BANK OF NEW YORK MELLON CORP,736398000,36,25
20000125,BANK OF NEW YORK MELLON CORP,736398000,36,3125
20000126,BANK OF NEW YORK MELLON CORP,736398000,39,4375
20000127,BANK OF NEW YORK MELLON CORP,736398000,39,625
20000128,BANK OF NEW YORK MELLON CORP,736398000,37,75
20000131,BANK OF NEW YORK MELLON CORP,736398000,40,625
20000201,BANK OF NEW YORK MELLON CORP,736398000,40,875
20000202,BANK OF NEW YORK MELLON CORP,736398000,39,875
20000203,BANK OF NEW YORK MELLON CORP,736398000,39,5625
20000204,BANK OF NEW YORK MELLON CORP,736398000,37,9375
20000207,BANK OF NEW YORK MELLON CORP,736398000,38,25
20000208,BANK OF NEW YORK MELLON CORP,736398000,39,3125
20000209,BANK OF NEW YORK MELLON CORP,736398000,38,625
20000210,BANK OF NEW YORK MELLON CORP,736398000,36,5
20000211,BANK OF NEW YORK MELLON CORP,736398000,36,8125
20000214,BANK OF NEW YORK MELLON CORP,736398000,36,234
20000215,BANK OF NEW YORK MELLON CORP,736398000,36,9375
20000216,BANK OF NEW YORK MELLON CORP,736398000,37,5
20000217,BANK OF NEW YORK MELLON CORP,736398000,35,625
20000218,BANK OF NEW YORK MELLON CORP,736398000,33,5625
20000222,BANK OF NEW YORK MELLON CORP,736398000,33,9375
20000223,BANK OF NEW YORK MELLON CORP,736398000,33,25
20000224,BANK OF NEW YORK MELLON CORP,736398000,31,875
20000225,BANK OF NEW YORK MELLON CORP,736398000,33,
20000228,BANK OF NEW YORK MELLON CORP,736398000,34,75
20000229,BANK OF NEW YORK MELLON CORP,736398000,33,25
20000301,BANK OF NEW YORK MELLON CORP,736398000,32,4375
20000302,BANK OF NEW YORK MELLON CORP,736398000,33,125
20000303,BANK OF NEW YORK MELLON CORP,736398000,32,625
20000306,BANK OF NEW YORK MELLON CORP,736398000,32,75
20000307,BANK OF NEW YORK MELLON CORP,736398000,31,3125
20000308,BANK OF NEW YORK MELLON CORP,736398000,31,
20000309,BANK OF NEW YORK MELLON CORP,736398000,32,1875
20000310,BANK OF NEW YORK MELLON CORP,736398000,31,6875
20000313,BANK OF NEW YORK MELLON CORP,736398000,33,125
20000314,BANK OF NEW YORK MELLON CORP,736398000,31,875
20000315,BANK OF NEW YORK MELLON CORP,736398000,35,1875
20000316,BANK OF NEW YORK MELLON CORP,736398000,40,875
20000317,BANK OF NEW YORK MELLON CORP,736398000,38,6875
20000320,BANK OF NEW YORK MELLON CORP,736398000,37,625
20000321,BANK OF NEW YORK MELLON CORP,736398000,38,625
20000322,BANK OF NEW YORK MELLON CORP,736398000,38,875
20000323,BANK OF NEW YORK MELLON CORP,736398000,40,
20000324,BANK OF NEW YORK MELLON CORP,736398000,40,6875
20000327,BANK OF NEW YORK MELLON CORP,736398000,39,3125
20000328,BANK OF NEW YORK MELLON CORP,736398000,39,75
20000329,BANK OF NEW YORK MELLON CORP,736398000,39,3125
20000330,BANK OF NEW YORK MELLON CORP,736398000,39,3125
20000331,BANK OF NEW YORK MELLON CORP,736398000,41,5625
20000403,BANK OF NEW YORK MELLON CORP,736398000,43,5469
20000404,BANK OF NEW YORK MELLON CORP,736398000,41,6875
20000405,BANK OF NEW YORK MELLON CORP,736398000,41,9375
20000406,BANK OF NEW YORK MELLON CORP,736398000,41,625
20000407,BANK OF NEW YORK MELLON CORP,736398000,40,4375
20000410,BANK OF NEW YORK MELLON CORP,737040000,42,625
20000411,BANK OF NEW YORK MELLON CORP,737040000,41,1875
20000412,BANK OF NEW YORK MELLON CORP,737040000,43,375
20000413,BANK OF NEW YORK MELLON CORP,737040000,43,125
20000414,BANK OF NEW YORK MELLON CORP,737040000,39,4375
20000417,BANK OF NEW YORK MELLON CORP,737040000,39,5625
20000418,BANK OF NEW YORK MELLON CORP,737040000,42,8125
20000419,BANK OF NEW YORK MELLON CORP,737040000,41,4375
20000420,BANK OF NEW YORK MELLON CORP,737040000,41,9375
20000424,BANK OF NEW YORK MELLON CORP,737040000,43,1875
20000425,BANK OF NEW YORK MELLON CORP,737040000,44,8125
20000426,BANK OF NEW YORK MELLON CORP,737040000,43,5
20000427,BANK OF NEW YORK MELLON CORP,737040000,42,25
20000428,BANK OF NEW YORK MELLON CORP,737040000,41,625
20000501,BANK OF NEW YORK MELLON CORP,737040000,42,5
20000502,BANK OF NEW YORK MELLON CORP,737040000,41,875
20000503,BANK OF NEW YORK MELLON CORP,737040000,40,9375
20000504,BANK OF NEW YORK MELLON CORP,737040000,40,
20000505,BANK OF NEW YORK MELLON CORP,737040000,41,5625
20000508,BANK OF NEW YORK MELLON CORP,737040000,43,1875
20000509,BANK OF NEW YORK MELLON CORP,737040000,43,875
20000510,BANK OF NEW YORK MELLON CORP,737040000,43,1875
20000511,BANK OF NEW YORK MELLON CORP,737040000,43,75
20000512,BANK OF NEW YORK MELLON CORP,737040000,44,8125
20000515,BANK OF NEW YORK MELLON CORP,737040000,46,5625
20000516,BANK OF NEW YORK MELLON CORP,737040000,46,25
20000517,BANK OF NEW YORK MELLON CORP,737040000,45,8125
20000518,BANK OF NEW YORK MELLON CORP,737040000,46,4375
20000519,BANK OF NEW YORK MELLON CORP,737040000,44,
20000522,BANK OF NEW YORK MELLON CORP,737040000,45,8125
20000523,BANK OF NEW YORK MELLON CORP,737040000,47,125
20000524,BANK OF NEW YORK MELLON CORP,737040000,48,
20000525,BANK OF NEW YORK MELLON CORP,737040000,46,5
20000526,BANK OF NEW YORK MELLON CORP,737040000,47,
20000530,BANK OF NEW YORK MELLON CORP,737040000,46,6875
20000531,BANK OF NEW YORK MELLON CORP,737523000,46,9375
20000601,BANK OF NEW YORK MELLON CORP,737523000,47,9375
20000602,BANK OF NEW YORK MELLON CORP,737523000,48,625
20000605,BANK OF NEW YORK MELLON CORP,737523000,46,875
20000606,BANK OF NEW YORK MELLON CORP,737523000,46,8125
20000607,BANK OF NEW YORK MELLON CORP,737523000,47,
20000608,BANK OF NEW YORK MELLON CORP,737523000,46,
20000609,BANK OF NEW YORK MELLON CORP,737523000,44,625
20000612,BANK OF NEW YORK MELLON CORP,737523000,45,1875
20000613,BANK OF NEW YORK MELLON CORP,737523000,45,75
20000614,BANK OF NEW YORK MELLON CORP,737523000,45,9375
20000615,BANK OF NEW YORK MELLON CORP,737523000,45,3125
20000616,BANK OF NEW YORK MELLON CORP,737523000,43,625
20000619,BANK OF NEW YORK MELLON CORP,737523000,44,5625
20000620,BANK OF NEW YORK MELLON CORP,737523000,45,4375
20000621,BANK OF NEW YORK MELLON CORP,737523000,43,625
20000622,BANK OF NEW YORK MELLON CORP,737523000,44,875
20000623,BANK OF NEW YORK MELLON CORP,737523000,46,1875
20000626,BANK OF NEW YORK MELLON CORP,737523000,47,5625
20000627,BANK OF NEW YORK MELLON CORP,737523000,48,125
20000628,BANK OF NEW YORK MELLON CORP,737523000,48,
20000629,BANK OF NEW YORK MELLON CORP,737523000,48,
20000630,BANK OF NEW YORK MELLON CORP,737523000,46,5
20000703,BANK OF NEW YORK MELLON CORP,737523000,48,625
20000705,BANK OF NEW YORK MELLON CORP,737523000,48,875
20000706,BANK OF NEW YORK MELLON CORP,737523000,48,3125
20000707,BANK OF NEW YORK MELLON CORP,737523000,48,6875
20000710,BANK OF NEW YORK MELLON CORP,737523000,48,25
20000711,BANK OF NEW YORK MELLON CORP,737523000,48,8125
20000712,BANK OF NEW YORK MELLON CORP,737523000,48,5
20000713,BANK OF NEW YORK MELLON CORP,737523000,46,375
20000714,BANK OF NEW YORK MELLON CORP,737523000,46,9375
20000717,BANK OF NEW YORK MELLON CORP,737523000,48,4375
20000718,BANK OF NEW YORK MELLON CORP,737523000,48,125
20000719,BANK OF NEW YORK MELLON CORP,737523000,48,1875
20000720,BANK OF NEW YORK MELLON CORP,737523000,49,3125
20000721,BANK OF NEW YORK MELLON CORP,737523000,50,
20000724,BANK OF NEW YORK MELLON CORP,737523000,50,625
20000725,BANK OF NEW YORK MELLON CORP,737523000,50,8125
20000726,BANK OF NEW YORK MELLON CORP,737523000,48,25
20000727,BANK OF NEW YORK MELLON CORP,737523000,47,9375
20000728,BANK OF NEW YORK MELLON CORP,737523000,46,9375
20000731,BANK OF NEW YORK MELLON CORP,737523000,46,8125
20000801,BANK OF NEW YORK MELLON CORP,737523000,47,625
20000802,BANK OF NEW YORK MELLON CORP,737523000,47,1875
20000803,BANK OF NEW YORK MELLON CORP,737523000,49,9375
20000804,BANK OF NEW YORK MELLON CORP,737523000,52,25
20000807,BANK OF NEW YORK MELLON CORP,737523000,52,5
20000808,BANK OF NEW YORK MELLON CORP,737523000,52,375
20000809,BANK OF NEW YORK MELLON CORP,737523000,52,25
20000810,BANK OF NEW YORK MELLON CORP,737523000,52,625
20000811,BANK OF NEW YORK MELLON CORP,737523000,52,
20000814,BANK OF NEW YORK MELLON CORP,737523000,51,9375
20000815,BANK OF NEW YORK MELLON CORP,737523000,50,6875
20000816,BANK OF NEW YORK MELLON CORP,737523000,49,625
20000817,BANK OF NEW YORK MELLON CORP,737523000,49,625
20000818,BANK OF NEW YORK MELLON CORP,737523000,48,5
20000821,BANK OF NEW YORK MELLON CORP,737523000,50,125
20000822,BANK OF NEW YORK MELLON CORP,737523000,51,1875
20000823,BANK OF NEW YORK MELLON CORP,737523000,52,
20000824,BANK OF NEW YORK MELLON CORP,737523000,51,5
20000825,BANK OF NEW YORK MELLON CORP,737523000,50,5625
20000828,BANK OF NEW YORK MELLON CORP,737523000,50,4375
20000829,BANK OF NEW YORK MELLON CORP,737523000,50,1875
20000830,BANK OF NEW YORK MELLON CORP,737523000,51,625
20000831,BANK OF NEW YORK MELLON CORP,737523000,52,4375
20000901,BANK OF NEW YORK MELLON CORP,737523000,51,6875
20000905,BANK OF NEW YORK MELLON CORP,737523000,51,9375
20000906,BANK OF NEW YORK MELLON CORP,737523000,53,75
20000907,BANK OF NEW YORK MELLON CORP,737523000,53,625
20000908,BANK OF NEW YORK MELLON CORP,737523000,53,625
20000911,BANK OF NEW YORK MELLON CORP,737523000,54,9375
20000912,BANK OF NEW YORK MELLON CORP,737523000,54,5625
20000913,BANK OF NEW YORK MELLON CORP,737523000,52,4375
20000914,BANK OF NEW YORK MELLON CORP,737523000,52,25
20000915,BANK OF NEW YORK MELLON CORP,737523000,51,9375
20000918,BANK OF NEW YORK MELLON CORP,737523000,50,4375
20000919,BANK OF NEW YORK MELLON CORP,737523000,51,8125
20000920,BANK OF NEW YORK MELLON CORP,737523000,51,4375
20000921,BANK OF NEW YORK MELLON CORP,737523000,50,75
20000922,BANK OF NEW YORK MELLON CORP,737523000,51,5
20000925,BANK OF NEW YORK MELLON CORP,737523000,51,1875
20000926,BANK OF NEW YORK MELLON CORP,737523000,51,4375
20000927,BANK OF NEW YORK MELLON CORP,737523000,54,4375
20000928,BANK OF NEW YORK MELLON CORP,737523000,57,3125
20000929,BANK OF NEW YORK MELLON CORP,737523000,56,625
20001002,BANK OF NEW YORK MELLON CORP,737523000,56,5625
20001003,BANK OF NEW YORK MELLON CORP,737523000,56,9375
20001004,BANK OF NEW YORK MELLON CORP,737523000,54,875
20001005,BANK OF NEW YORK MELLON CORP,737523000,55,875
20001006,BANK OF NEW YORK MELLON CORP,737523000,54,
20001009,BANK OF NEW YORK MELLON CORP,737523000,53,6875
20001010,BANK OF NEW YORK MELLON CORP,737523000,52,8125
20001011,BANK OF NEW YORK MELLON CORP,737523000,50,5625
20001012,BANK OF NEW YORK MELLON CORP,737523000,48,5625
20001013,BANK OF NEW YORK MELLON CORP,737523000,51,125
20001016,BANK OF NEW YORK MELLON CORP,737523000,53,3125
20001017,BANK OF NEW YORK MELLON CORP,737523000,51,5625
20001018,BANK OF NEW YORK MELLON CORP,737523000,51,75
20001019,BANK OF NEW YORK MELLON CORP,737523000,52,625
20001020,BANK OF NEW YORK MELLON CORP,737523000,52,25
20001023,BANK OF NEW YORK MELLON CORP,737523000,52,3125
20001024,BANK OF NEW YORK MELLON CORP,737523000,54,
20001025,BANK OF NEW YORK MELLON CORP,737523000,54,
20001026,BANK OF NEW YORK MELLON CORP,737523000,52,1875
20001027,BANK OF NEW YORK MELLON CORP,737523000,53,625
20001030,BANK OF NEW YORK MELLON CORP,737523000,57,
20001031,BANK OF NEW YORK MELLON CORP,737523000,57,5625
20001101,BANK OF NEW YORK MELLON CORP,737523000,55,8125
20001102,BANK OF NEW YORK MELLON CORP,737523000,56,5
20001103,BANK OF NEW YORK MELLON CORP,737523000,57,875
20001106,BANK OF NEW YORK MELLON CORP,737523000,58,5
20001107,BANK OF NEW YORK MELLON CORP,737523000,59,25
20001108,BANK OF NEW YORK MELLON CORP,737523000,58,125
20001109,BANK OF NEW YORK MELLON CORP,737523000,58,625
20001110,BANK OF NEW YORK MELLON CORP,737523000,57,375
20001113,BANK OF NEW YORK MELLON CORP,737523000,56,625
20001114,BANK OF NEW YORK MELLON CORP,737523000,56,5
20001115,BANK OF NEW YORK MELLON CORP,737523000,54,8125
20001116,BANK OF NEW YORK MELLON CORP,737523000,54,5
20001117,BANK OF NEW YORK MELLON CORP,737523000,53,8125
20001120,BANK OF NEW YORK MELLON CORP,737523000,51,9375
20001121,BANK OF NEW YORK MELLON CORP,737523000,52,6875
20001122,BANK OF NEW YORK MELLON CORP,737523000,51,875
20001124,BANK OF NEW YORK MELLON CORP,737523000,52,5
20001127,BANK OF NEW YORK MELLON CORP,737523000,52,8125
20001128,BANK OF NEW YORK MELLON CORP,737523000,54,4375
20001129,BANK OF NEW YORK MELLON CORP,737523000,56,
20001130,BANK OF NEW YORK MELLON CORP,737523000,55,1875
20001201,BANK OF NEW YORK MELLON CORP,737523000,53,5
20001204,BANK OF NEW YORK MELLON CORP,737523000,53,5625
20001205,BANK OF NEW YORK MELLON CORP,737523000,55,3125
20001206,BANK OF NEW YORK MELLON CORP,740444000,54,625
20001207,BANK OF NEW YORK MELLON CORP,740444000,53,375
20001208,BANK OF NEW YORK MELLON CORP,740444000,53,8125
20001211,BANK OF NEW YORK MELLON CORP,740444000,54,9375
20001212,BANK OF NEW YORK MELLON CORP,740444000,54,3125
20001213,BANK OF NEW YORK MELLON CORP,740444000,53,3125
20001214,BANK OF NEW YORK MELLON CORP,740444000,53,8125
20001215,BANK OF NEW YORK MELLON CORP,740444000,53,1875
20001218,BANK OF NEW YORK MELLON CORP,740444000,53,4375
20001219,BANK OF NEW YORK MELLON CORP,740444000,52,3125
20001220,BANK OF NEW YORK MELLON CORP,740444000,52,9375
20001221,BANK OF NEW YORK MELLON CORP,740444000,55,
20001222,BANK OF NEW YORK MELLON CORP,740444000,55,5
20001226,BANK OF NEW YORK MELLON CORP,740444000,55,5625
20001227,BANK OF NEW YORK MELLON CORP,740444000,56,625
20001228,BANK OF NEW YORK MELLON CORP,740444000,56,5625
20001229,BANK OF NEW YORK MELLON CORP,740444000,55,1875
20010102,BANK OF NEW YORK MELLON CORP,740444000,55,
20010103,BANK OF NEW YORK MELLON CORP,740444000,56,
20010104,BANK OF NEW YORK MELLON CORP,740444000,56,25
20010105,BANK OF NEW YORK MELLON CORP,740444000,54,5625
20010108,BANK OF NEW YORK MELLON CORP,740444000,54,3125
20010109,BANK OF NEW YORK MELLON CORP,740444000,53,125
20010110,BANK OF NEW YORK MELLON CORP,740444000,53,375
20010111,BANK OF NEW YORK MELLON CORP,740444000,53,5
20010112,BANK OF NEW YORK MELLON CORP,740444000,50,375
20010116,BANK OF NEW YORK MELLON CORP,740444000,51,875
20010117,BANK OF NEW YORK MELLON CORP,740444000,50,6875
20010118,BANK OF NEW YORK MELLON CORP,740444000,49,5
20010119,BANK OF NEW YORK MELLON CORP,740444000,47,375
20010122,BANK OF NEW YORK MELLON CORP,740444000,50,4375
20010123,BANK OF NEW YORK MELLON CORP,740444000,51,9375
20010124,BANK OF NEW YORK MELLON CORP,740444000,52,625
20010125,BANK OF NEW YORK MELLON CORP,740444000,52,4375
20010126,BANK OF NEW YORK MELLON CORP,740444000,53,4375
20010129,BANK OF NEW YORK MELLON CORP,740444000,54,4
20010130,BANK OF NEW YORK MELLON CORP,740444000,55,25
20010131,BANK OF NEW YORK MELLON CORP,740444000,54,73
20010201,BANK OF NEW YORK MELLON CORP,740444000,54,18
20010202,BANK OF NEW YORK MELLON CORP,740444000,53,7
20010205,BANK OF NEW YORK MELLON CORP,740444000,54,96
20010206,BANK OF NEW YORK MELLON CORP,740444000,53,75
20010207,BANK OF NEW YORK MELLON CORP,740444000,53,92
20010208,BANK OF NEW YORK MELLON CORP,740444000,53,21
20010209,BANK OF NEW YORK MELLON CORP,740444000,53,95
20010212,BANK OF NEW YORK MELLON CORP,740444000,54,3
20010213,BANK OF NEW YORK MELLON CORP,740444000,54,2
20010214,BANK OF NEW YORK MELLON CORP,740444000,53,8
20010215,BANK OF NEW YORK MELLON CORP,740444000,53,7
20010216,BANK OF NEW YORK MELLON CORP,740444000,54,
20010220,BANK OF NEW YORK MELLON CORP,740444000,50,66
20010221,BANK OF NEW YORK MELLON CORP,740444000,50,35
20010222,BANK OF NEW YORK MELLON CORP,740444000,50,25
20010223,BANK OF NEW YORK MELLON CORP,740444000,50,71
20010226,BANK OF NEW YORK MELLON CORP,740444000,51,1
20010227,BANK OF NEW YORK MELLON CORP,740444000,51,95
20010228,BANK OF NEW YORK MELLON CORP,740444000,51,78
20010301,BANK OF NEW YORK MELLON CORP,740444000,51,45
20010302,BANK OF NEW YORK MELLON CORP,740444000,51,35
20010305,BANK OF NEW YORK MELLON CORP,740444000,50,85
20010306,BANK OF NEW YORK MELLON CORP,740444000,50,74
20010307,BANK OF NEW YORK MELLON CORP,740444000,51,47
20010308,BANK OF NEW YORK MELLON CORP,740444000,50,65
20010309,BANK OF NEW YORK MELLON CORP,740444000,49,2
20010312,BANK OF NEW YORK MELLON CORP,740444000,47,
20010313,BANK OF NEW YORK MELLON CORP,740444000,47,4
20010314,BANK OF NEW YORK MELLON CORP,740444000,44,6
20010315,BANK OF NEW YORK MELLON CORP,740444000,47,2
20010316,BANK OF NEW YORK MELLON CORP,740444000,45,3
20010319,BANK OF NEW YORK MELLON CORP,740444000,45,45
20010320,BANK OF NEW YORK MELLON CORP,737171000,44,22
20010321,BANK OF NEW YORK MELLON CORP,737171000,42,75
20010322,BANK OF NEW YORK MELLON CORP,737171000,42,99
20010323,BANK OF NEW YORK MELLON CORP,737171000,45,21
20010326,BANK OF NEW YORK MELLON CORP,737171000,46,18
20010327,BANK OF NEW YORK MELLON CORP,737171000,48,3
20010328,BANK OF NEW YORK MELLON CORP,737171000,49,2
20010329,BANK OF NEW YORK MELLON CORP,737171000,48,5
20010330,BANK OF NEW YORK MELLON CORP,737171000,49,24
20010402,BANK OF NEW YORK MELLON CORP,737171000,49,34
20010403,BANK OF NEW YORK MELLON CORP,737171000,48,6
20010404,BANK OF NEW YORK MELLON CORP,737171000,47,75
20010405,BANK OF NEW YORK MELLON CORP,737171000,49,3
20010406,BANK OF NEW YORK MELLON CORP,737171000,48,34
20010409,BANK OF NEW YORK MELLON CORP,737171000,48,49
20010410,BANK OF NEW YORK MELLON CORP,737171000,49,44
20010411,BANK OF NEW YORK MELLON CORP,737171000,49,32
20010412,BANK OF NEW YORK MELLON CORP,737171000,49,5
20010416,BANK OF NEW YORK MELLON CORP,737171000,49,65
20010417,BANK OF NEW YORK MELLON CORP,737171000,50,25
20010418,BANK OF NEW YORK MELLON CORP,737171000,51,35
20010419,BANK OF NEW YORK MELLON CORP,737171000,52,2
20010420,BANK OF NEW YORK MELLON CORP,737171000,52,3
20010423,BANK OF NEW YORK MELLON CORP,737171000,51,67
20010424,BANK OF NEW YORK MELLON CORP,737171000,50,5
20010425,BANK OF NEW YORK MELLON CORP,737171000,50,15
20010426,BANK OF NEW YORK MELLON CORP,737171000,49,87
20010427,BANK OF NEW YORK MELLON CORP,737171000,50,
20010430,BANK OF NEW YORK MELLON CORP,737171000,50,2
20010501,BANK OF NEW YORK MELLON CORP,737171000,50,73
20010502,BANK OF NEW YORK MELLON CORP,737171000,50,13
20010503,BANK OF NEW YORK MELLON CORP,737171000,50,89
20010504,BANK OF NEW YORK MELLON CORP,737171000,51,7
20010507,BANK OF NEW YORK MELLON CORP,737171000,51,35
20010508,BANK OF NEW YORK MELLON CORP,737171000,50,8
20010509,BANK OF NEW YORK MELLON CORP,737171000,50,84
20010510,BANK OF NEW YORK MELLON CORP,737171000,50,61
20010511,BANK OF NEW YORK MELLON CORP,737171000,50,
20010514,BANK OF NEW YORK MELLON CORP,737171000,50,75
20010515,BANK OF NEW YORK MELLON CORP,737171000,52,2
20010516,BANK OF NEW YORK MELLON CORP,737171000,53,51
20010517,BANK OF NEW YORK MELLON CORP,737171000,54,4
20010518,BANK OF NEW YORK MELLON CORP,737171000,53,2
20010521,BANK OF NEW YORK MELLON CORP,737171000,53,55
20010522,BANK OF NEW YORK MELLON CORP,737171000,54,65
20010523,BANK OF NEW YORK MELLON CORP,737171000,54,76
20010524,BANK OF NEW YORK MELLON CORP,737171000,54,65
20010525,BANK OF NEW YORK MELLON CORP,737171000,53,93
